plane_id,plane_type,registration,job_id,source,distance_nm,pay_per_hour,xp_per_hour,balance_score,pay,xp,FlightHrs,Speed,MinAp,route,legs_count
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,c0809ea0-fd85-4c80-8fbe-1ae996c3deb2,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,2432.15,762852.21,35.87,0.560776,2573329.50,121.00,3.37,721,5,"KBGR, KPBI, KBGR",2
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,b32a23b9-e1a2-4772-a2d8-ffd9808bc77c,fbo:93dd4df8-9061-4348-8cd7-8dcc95c2602f,4000.18,590145.40,35.87,0.474413,3274183.50,199.00,5.55,721,4,"ESGG, KJAX",1
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,cd426c9a-bafa-4cb9-8f7e-3183034e4c49,fbo:f250cfaa-5fa7-486e-9bdf-f48b2b826bb4,3116.08,909428.52,35.86,0.634034,3930444.00,155.00,4.32,721,5,"EINN, KCVG",1
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,07d5b66d-f928-42bd-ab8c-6efb9d5748ba,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,945.11,1094842.78,35.85,0.726696,1435161.00,47.00,1.31,721,5,"KEWR, KMIA",1
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,cbe25d9b-34a5-4488-ab42-b6fea360f017,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,945.11,51897.74,35.85,0.205224,68029.50,47.00,1.31,721,5,"KEWR, KMIA",1
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,23e6e56e-5f38-4a0e-bf28-d7673809e0fb,fbo:2af499c4-4ba9-489e-8547-8652feee13ea,2734.87,1120493.88,35.85,0.739517,4250211.00,136.00,3.79,721,5,"PANC, KMEM",1
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,714baf87-1ca7-4b9f-8c6e-61a6d3a13be3,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,2312.66,1383181.79,35.85,0.870854,4436659.50,115.00,3.21,721,2,"KMLT, KSRB, AL12, KMLT",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,52d6b71d-8a19-4383-9616-93e2866f42f0,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,724.01,2418544.65,35.85,1.388524,2428639.50,36.00,1.00,721,2,"KMLT, CYQY, KMLT",2
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,d0a23ec8-e64f-477c-b281-67df9f2f805d,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,382.12,890421.98,35.85,0.624461,471912.00,19.00,0.53,721,2,"KMLT, KEWR",1
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,6cf526aa-bc31-4e08-b2b8-1aaceca48397,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,3077.15,510665.50,35.85,0.434578,2179464.00,153.00,4.27,721,4,"KBGR, KTYR, KCNW, KBGR",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,90122911-3ec8-411a-a1a3-070550209ece,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,3057.73,1769280.95,35.84,1.063845,7503447.00,152.00,4.24,721,2,"KMLT, KSSI, KOWA, KMLT",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,ecd26a0f-ba1c-48f9-bc14-b5ee798b2413,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,3339.40,1779137.51,35.84,1.068772,8240284.50,166.00,4.63,721,2,"KMLT, KGLH, KVCT, KMLT",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,566c3eb5-0494-4a6c-8e8a-4d63ebdf744b,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,1549.09,1624900.51,35.84,0.991643,3491145.00,77.00,2.15,721,2,"KMLT, KHRJ, KIAD, KMLT",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,b1db8870-196b-4e85-8b64-b4dfd8cb0ff5,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,1428.46,1535831.75,35.84,0.947099,3042816.00,71.00,1.98,721,2,"KOCW, KMLT, KOCW",2
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,405b6cbc-0b1c-4807-b3e7-fa8f5eadf738,fbo:f250cfaa-5fa7-486e-9bdf-f48b2b826bb4,3802.53,688555.89,35.84,0.523460,3631425.00,189.00,5.27,721,5,"EINN, KDFW",1
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,b0ae9533-40cf-4d6c-b22c-e9022759fa24,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,3060.20,1459178.43,35.81,0.908649,6193309.50,152.00,4.24,721,2,"KMLT, KMPR, KMGE, KMLT",3
