plane_type,job_id,source,distance_nm,pay_per_hour,xp_per_hour,balance_score,pay,xp,FlightHrs,Speed,MinAp,route,legs_count
Lockheed SR-71,b712537f-a98b-4b4d-88de-e7dccc613229,fbo:b2868468-2061-4c06-92db-2209025e23f7,2304.06,4804.71,95.33,0.479061,5796.00,115.00,1.21,1910,1,"KLRG, KNHK, KDAB, KNRB, KLRG",4
Lockheed SR-71,38ea814c-4a93-427b-8043-2a3ef887537d,fbo:b2868468-2061-4c06-92db-2209025e23f7,1363.45,4751.02,95.26,0.478668,3391.50,68.00,0.71,1910,1,"KLRG, KNHK, KPIT, KLRG",3
Lockheed SR-71,fdc752b7-954d-4898-9d92-d86270d99bfc,fbo:b2868468-2061-4c06-92db-2209025e23f7,501.30,12201.91,95.25,0.482366,3202.50,25.00,0.26,1910,1,"KLRG, KBTV, CYRQ, KLRG",3
Lockheed SR-71,595556cb-053e-4fb4-845e-733c25a7af9b,fbo:b2868468-2061-4c06-92db-2209025e23f7,962.66,9124.77,95.24,0.480741,4599.00,48.00,0.50,1910,1,"KLRG, CYZX, KMHT, CYRQ, CYUL, KLRG",5
Lockheed SR-71,4ecadc6b-205a-4f03-b7f3-e1fb46e3b198,fbo:b2868468-2061-4c06-92db-2209025e23f7,2607.42,2376.68,95.23,0.477330,3244.50,130.00,1.37,1910,1,"KLRG, KATL, KTPA, KLRG",3
Lockheed SR-71,6c62cd28-c62a-48dd-8533-2c4002cac5a1,fbo:b2868468-2061-4c06-92db-2209025e23f7,2450.02,4518.48,95.11,0.477807,5796.00,122.00,1.28,1910,1,"KLRG, CYYQ, KLRG",2
Lockheed SR-71,67bb3f47-0fe9-4e97-9bcf-5b76229c8189,fbo:b2868468-2061-4c06-92db-2209025e23f7,2450.02,3167.85,95.11,0.477132,4063.50,122.00,1.28,1910,1,"KLRG, CYYQ, KLRG",2
Lockheed SR-71,b1fc8a67-510a-447e-bdfe-3b786b62264e,fbo:b2868468-2061-4c06-92db-2209025e23f7,2631.53,4130.60,95.08,0.477473,5691.00,131.00,1.38,1910,1,"KLRG, KMIA, KSWF, KLRG",3
Lockheed SR-71,e67d6561-155c-4ade-a111-6fb9dd5b9f08,fbo:b2868468-2061-4c06-92db-2209025e23f7,2352.00,4323.08,95.01,0.477225,5323.50,117.00,1.23,1910,1,"KLRG, CYFB, CYYR, KLRG",3
Rockwell B-1 Lancer,225d99e7-7169-485b-a499-bfcc7293b1c9,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,3662.48,682066.84,36.03,0.521162,3464706.00,183.00,5.08,721,5,"KBGR, KPBI, KDFW, KBGR",3
Rockwell B-1 Lancer,e9f2da3c-8ba4-4024-8d28-af48e4e4224a,fbo:93dd4df8-9061-4348-8cd7-8dcc95c2602f,3622.98,354710.56,36.02,0.357457,1782396.00,181.00,5.02,721,5,"ESGG, KMSP",1
Rockwell B-1 Lancer,a147e3af-c720-4450-b95d-da5a70cec2e6,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,6065.01,567855.03,36.02,0.464029,4776765.00,303.00,8.41,721,4,"KBGR, EDSB, KBGR",2
Rockwell B-1 Lancer,65405429-bc99-4ac6-bdad-d4a98eb4263c,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,2662.38,294442.33,36.02,0.327310,1087264.50,133.00,3.69,721,4,"KBGR, KTUL, KBGR",2
Rockwell B-1 Lancer,98e01f3d-a090-4f57-a9bd-2b7412a28e0e,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,2722.56,212970.09,36.02,0.286565,804195.00,136.00,3.78,721,5,"KBGR, CYUL, KICT, KBGR",3
Rockwell B-1 Lancer,a4af802c-9332-464a-a630-0c02779dc2b2,fbo:883bbd19-9d64-465d-9711-bbd4c26ddc66,820.88,135329.19,36.01,0.247721,154077.00,41.00,1.14,721,5,"KMEM, KEWR",1
Rockwell B-1 Lancer,6919eb9a-ff58-4a1c-8675-34742cb5730d,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,6247.89,604757.99,36.00,0.482401,5240581.50,312.00,8.67,721,4,"KBGR, KVLD, SPYL, KBGR",3
Rockwell B-1 Lancer,98a43280-e6cd-44b6-a9f0-06301a2ebf4f,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,6247.91,1460052.53,36.00,0.910048,12652258.50,312.00,8.67,721,2,"KMLT, EDAH, EDAZ, KMLT",3
Rockwell B-1 Lancer,cf55a469-ee6c-4965-89ab-e956c9d33622,fbo:f250cfaa-5fa7-486e-9bdf-f48b2b826bb4,4365.80,358153.48,36.00,0.359087,2168691.00,218.00,6.06,721,5,"EINN, KOAK",1
Rockwell B-1 Lancer,4afee09a-ae41-4246-87e8-930894c3e957,fbo:f250cfaa-5fa7-486e-9bdf-f48b2b826bb4,4365.80,284817.18,36.00,0.322419,1724625.00,218.00,6.06,721,5,"EINN, KOAK",1
Smaug,a4e0bc3f-6554-49ed-a1d2-dee4e275b0aa,fbo:9f57f348-4cff-4448-a325-48301fb67ec1,109.02,218693.18,7.34,0.146039,149005.50,5.00,0.68,160,0,"KPQI, WYTOP, KPQI",2
Smaug,c2de5465-20ec-4765-aab9-7c30d6f49642,fbo:9f57f348-4cff-4448-a325-48301fb67ec1,487.97,88938.93,7.87,0.083816,271246.50,24.00,3.05,160,0,"WYTOP, CYSU, CYES, WYTOP",3
Smaug,db1be480-23c1-4da2-ba8b-cbba9dc23dd5,fbo:9f57f348-4cff-4448-a325-48301fb67ec1,616.26,72555.89,7.79,0.075223,279457.50,30.00,3.85,160,0,"WYTOP, KLWM, CYQB, WYTOP",3
Smaug,6f98dab1-d61e-42cc-b9b7-fea29a0cb3a0,fbo:9f57f348-4cff-4448-a325-48301fb67ec1,569.20,70302.24,7.87,0.074505,250099.50,28.00,3.56,160,0,"WYTOP, CYFC, CYPD, WYTOP",3
Smaug,9aaa1ead-f1a4-4a26-84a4-eff5d00e2f3b,fbo:9f57f348-4cff-4448-a325-48301fb67ec1,608.65,59404.90,7.89,0.069134,225981.00,30.00,3.80,160,0,"WYTOP, CYBC, WYTOP, CYES, WYTOP",4
Smaug,4f005177-a1a6-427d-95b7-bd256526a46d,fbo:9f57f348-4cff-4448-a325-48301fb67ec1,622.77,50159.93,7.96,0.064902,195237.00,31.00,3.89,160,0,"WYTOP, CYAU, KHIE, WYTOP",3
Smaug,76f94571-f750-4aa0-9faf-2d8269219588,fbo:9f57f348-4cff-4448-a325-48301fb67ec1,289.61,49133.24,7.73,0.063239,88935.00,14.00,1.81,160,0,"WYTOP, 8B0, 0B1, WYTOP",3
Smaug,78024f5b-17bc-4828-adcd-94f6ade33923,fbo:9f57f348-4cff-4448-a325-48301fb67ec1,444.32,46643.19,7.92,0.062933,129528.00,22.00,2.78,160,0,"WYTOP, CYQM, CYVB, WYTOP",3
Smaug,e7e28466-f755-49cd-a4d8-b45452a91ab6,fbo:9f57f348-4cff-4448-a325-48301fb67ec1,536.20,44744.31,7.76,0.061163,149950.50,26.00,3.35,160,0,"WYTOP, KLWM, CYSG, WYTOP",3
Smaug,668882cb-42f2-460b-a654-bb87f2b61618,fbo:9f57f348-4cff-4448-a325-48301fb67ec1,540.41,39108.02,7.99,0.059524,132090.00,27.00,3.38,160,0,"WYTOP, 0B5, 0B1, WYTOP",3
VSKYLABS Skyscenders 76,668882cb-42f2-460b-a654-bb87f2b61618,fbo:9f57f348-4cff-4448-a325-48301fb67ec1,540.41,244180.73,49.91,0.371650,132090.00,27.00,0.54,999,0,"WYTOP, 0B5, 0B1, WYTOP",3
VSKYLABS Skyscenders 76,e3c6d62b-fde3-43ff-b8a9-5db9c4dab276,fbo:9f57f348-4cff-4448-a325-48301fb67ec1,660.55,341499.57,49.91,0.420293,225802.50,33.00,0.66,999,0,"WYTOP, CYSL, CYGV, WYTOP",3
